"S+G2/G1"	"EDU"	"AK leakage"	"Resazurin"	"Cell Number"
"CDKN1C"	-0.333333333333333	0	0.333333333333333	0.333333333333333	-0.666666666666667
"ARK5"	0	0	0	0.333333333333333	0
"EPHB6"	0	0	0	0.666666666666667	0
"EPHB4"	0	0	0	1	0
"EPHB3"	0	-0.333333333333333	0	0.666666666666667	-0.333333333333333
"HSMDPKIN"	0	0	0	1	0
"EPHA5"	0	0	0	0.666666666666667	0
"APEG1"	0	0	0	0.666666666666667	0.333333333333333
"ANGPT4"	0.333333333333333	-0.666666666666667	0	0	0
"ALK"	-0.333333333333333	0	0.333333333333333	0	-0.666666666666667
"GUCY2C"	0	0	0	0.666666666666667	0
"AKAP13"	0	0	0	0.666666666666667	0
"GSK3B"	0	0	0	0.333333333333333	0
"GRK4"	0	-1	0.666666666666667	-1	-1
"GNE"	0	0	0	0	0.666666666666667
"CCL4"	0	0	0	-0.666666666666667	-0.666666666666667
"DUSP2"	0	0	0	0.666666666666667	0
"GFRA2"	0	0	0	0	0.666666666666667
"DMPK"	0	0	0	-0.666666666666667	0
"CAMKK2"	0	0	0	-1	0
"ADCK5"	0	-0.333333333333333	0	0	0.333333333333333
"FN3KRP"	0	0	0.666666666666667	-0.333333333333333	0
"CAMK1G"	0	0	0	0.333333333333333	0.666666666666667
"ACVR2"	0	0	0	0.333333333333333	0.666666666666667
"CALM3"	0	-1	0	0	0
"DAPK3"	0	0	0	-0.333333333333333	-1
"CLK1"	0	0	0	0.666666666666667	0
"BMP2K"	0	0	-0.333333333333333	1	0
"CERK"	0	0	0	0.666666666666667	0
"AXL"	0	0	0	0.666666666666667	0
"FER"	0	0	0	0.666666666666667	0.333333333333333
"EVI1"	0	0	0	0	-0.333333333333333
"NEK7"	0	0	0	0.666666666666667	0
"MAP3K14"	0	0.333333333333333	0	0.666666666666667	0
"NBEA"	0	0	0	0.666666666666667	0.333333333333333
"RAF1"	0	-1	0	0.333333333333333	0
"MAGI-3"	0	0	0.666666666666667	-0.333333333333333	-0.666666666666667
"RP6-213H19.1"	0	0	0	0.666666666666667	0.333333333333333
"PIK3CA"	0	0	0	-1	-0.333333333333333
"PI4K2B"	0	0	0	-0.666666666666667	-0.666666666666667
"MPP2"	0	0.333333333333333	0	-0.666666666666667	0
"MIDORI"	0	-0.666666666666667	0	0	0
"PRPSAP2"	0	-1	1	0	-0.333333333333333
"PHKA2"	0	0	0.333333333333333	0	-0.666666666666667
"PFKL"	0	-1	0	0	0.333333333333333
"PRKWNK2"	0	0	0	0.666666666666667	0.333333333333333
"PDLIM5"	0	0	0	0.333333333333333	0
"MGC4796"	0	0	0	-0.333333333333333	0.333333333333333
"LATS1"	0.333333333333333	0.333333333333333	0	-0.666666666666667	0
"C9ORF96"	0	0	0	-0.666666666666667	0
"KSR2"	1	0	1	-1	-0.666666666666667
"PRKCN"	0	0	1	-1	-1
"PRKCL1"	0	0	0	1	0.333333333333333
"ITPKB"	0	0	0	0.666666666666667	0
"MAPK7"	0	0	0	0.666666666666667	0
"PANK3"	0	0	-0.333333333333333	0.666666666666667	1
"PRKCABP"	0	0	0	0.666666666666667	0
"PANK1"	0	0	0	0.333333333333333	0
"PAG"	0	0	0	0.666666666666667	0
"PRKACB"	0	0	0	0.666666666666667	0
"MAPK6"	0	0	0	1	0
"IRAK3"	0	0	0.666666666666667	-0.333333333333333	-0.666666666666667
"ILKAP"	0	0	0	1	0
"P15RS"	0	0	-0.333333333333333	1	0.333333333333333
"PRKAA1"	0	0	0	0.333333333333333	0.333333333333333
"NTRK2"	0	0	0	1	0
"IKBKAP"	0	0	0	1	0.666666666666667
"MAP3K8"	0	0	0	0.333333333333333	0
"IHPK1"	0	0	0	0.333333333333333	-0.333333333333333
